Out-of-order GTP packet counts help detect jitter issues on N3,<object> Out-of-order GTP packet counts (GTP.InDataPktOutOfOrderN3UPF) <relationship> help detect <object> jitter issues on N3.,OutOfOrderGTPPacketCountsGTPInDataPktOutOfOrderN3UPF,helpDetect,JitterIssuesOnN3,
N4 PFCP session metrics include SessionEstab,<object> N4 PFCP session metrics <relationship> include <object> SessionEstab.,N4PFCPSessionMetrics,include,SessionEstab,
N4 PFCP session metrics include ReportSucc,<object> N4 PFCP session metrics <relationship> include <object> ReportSucc.,N4PFCPSessionMetrics,include,ReportSucc,
SMF signals UPF in control plane,<object> SMF <relationship> signals <object> UPF.,SMF,signals,UPF,
SMF participates in control-plane signalling,<object> SMF <relationship> participates in <object> control-plane signalling.,SMF,participatesIn,ControlPlaneSignalling,
UPF participates in control-plane signalling,<object> UPF <relationship> participates in <object> control-plane signalling.,UPF,participatesIn,ControlPlaneSignalling,
SessionEstab reflects control-plane signaling health,<object> SessionEstab metric <relationship> reflects <object> control-plane signaling health.,SessionEstabMetric,reflects,ControlPlaneSignalingHealth,
ReportSucc reflects control-plane signaling health,<object> ReportSucc metric <relationship> reflects <object> control-plane signaling health.,ReportSuccMetric,reflects,ControlPlaneSignalingHealth,
N6 link usage counters include IP.N6IncLinkUsage,<object> N6 link usage counters <relationship> include <object> IP.N6IncLinkUsage.,N6LinkUsageCounters,include,IPN6IncLinkUsage,
N6 link usage counters include IP.N6OutLinkUsage,<object> N6 link usage counters <relationship> include <object> IP.N6OutLinkUsage.,N6LinkUsageCounters,include,IPN6OutLinkUsage,
IP.N6IncLinkUsage and IP.N6OutLinkUsage aggregate user-plane bandwidth toward external networks,<object> IP.N6IncLinkUsage and IP.N6OutLinkUsage <relationship> aggregate <object> user-plane bandwidth toward external networks.,IPN6IncLinkUsageAndIPN6OutLinkUsage,aggregate,UserPlaneBandwidthTowardExternalNetworks,
N9 RTT metrics (GTP.RttDelayN9*) quantify latency across chained UPFs,<object> N9 RTT metrics (GTP.RttDelayN9*) <relationship> quantify <object> latency across chained UPFs.,N9RTTMetricsGTPRttDelayN9,quantify,LatencyAcrossChainedUPFs,
N9 RTT metrics support multi-hop performance assessment,<object> N9 RTT metrics <relationship> support <object> multi-hop performance assessment.,N9RTTMetrics,support,MultiHopPerformanceAssessment,
N9 GTP packet counters support slice-level throughput insights,<object> N9 GTP packet counters <relationship> support <object> slice-level throughput insights.,N9GTPPacketCounters,support,SliceLevelThroughputInsights,
N9 GTP byte counters support slice-level throughput insights,<object> N9 GTP byte counters <relationship> support <object> slice-level throughput insights.,N9GTPByteCounters,support,SliceLevelThroughputInsights,
N9 GTP packet/byte counters support control-plane scaling insights,<object> N9 GTP packet/byte counters <relationship> support <object> control-plane scaling insights.,N9GTPPacketByteCounters,support,ControlPlaneScalingInsights,
Measurement split enables slice-specific SLA monitoring,<object> Measurement split <relationship> enables <object> slice-specific SLA monitoring.,MeasurementSplit,enables,SliceSpecificSLAMonitoring,
Interface-level metrics feed QoS enforcement modules,<object> Interface-level metrics <relationship> feed <object> QoS enforcement modules.,InterfaceLevelMetrics,feed,QoSEnforcementModules,
Interface-level metrics feed auto-scaling modules,<object> Interface-level metrics <relationship> feed <object> auto-scaling modules.,InterfaceLevelMetrics,feed,AutoScalingModules,
Interface-level metrics feed anomaly detection modules,<object> Interface-level metrics <relationship> feed <object> anomaly detection modules.,InterfaceLevelMetrics,feed,AnomalyDetectionModules,
These modules operate within intent-driven orchestration,<object> These modules <relationship> operate within <object> intent-driven orchestration.,TheseModules,operateWithin,IntentDrivenOrchestration,
Throughput/latency separation in UPF enables multi-tier traffic handling,<object> Throughput/latency separation in UPF <relationship> enables <object> multi-tier traffic handling.,ThroughputLatencySeparationInUPF,enables,MultiTierTrafficHandling,
Multi-tier traffic handling supports eMBB traffic,<object> Multi-tier traffic handling <relationship> supports <object> eMBB traffic.,MultiTierTrafficHandling,supports,EMBBTraffic,
Throughput is a key QoS metric,<object> Throughput <relationship> is <object> key QoS metric.,Throughput,is,KeyQoSMetric,
Voice services rely on low latency and minimal packet loss,<object> Voice services <relationship> rely on <object> low latency and minimal packet loss.,VoiceServices,relyOn,LowLatencyAndMinimalPacketLoss,
Autonomous vehicles rely on low latency and minimal packet loss,<object> Autonomous vehicles <relationship> rely on <object> low latency and minimal packet loss.,AutonomousVehicles,relyOn,LowLatencyAndMinimalPacketLoss,
Remote medical services rely on low latency and minimal packet loss,<object> Remote medical services <relationship> rely on <object> low latency and minimal packet loss.,RemoteMedicalServices,relyOn,LowLatencyAndMinimalPacketLoss,
AUSF is part of the cohesive 5GC suite,<object> AUSF <relationship> is <object> part of cohesive 5GC suite.,AUSF,is,PartOfCohesive5GCSuite,
Scalability supports high traffic load,<object> Scalability <relationship> supports <object> high traffic load.,Scalability,supports,HighTrafficLoad,
Logical slicing partitions 5G infrastructure,<object> Logical slicing architecture <relationship> partitions <object> 5G infrastructure.,LogicalSlicingArchitecture,partitions,5GInfrastructure,
Partitioning creates QoS-aligned logical networks,<object> Partitioning <relationship> creates <object> QoS-aligned logical networks.,Partitioning,creates,QoSAlignedLogicalNetworks,
QoS-aligned logical networks enable tailored service delivery,<object> QoS-aligned logical networks <relationship> enable <object> tailored service delivery.,QoSAlignedLogicalNetworks,enable,TailoredServiceDelivery,
Slice-aware mobility mechanisms are required to support seamless handover,<object> Slice-aware mobility mechanisms <relationship> are required to support <object> seamless handover.,SliceAwareMobilityMechanisms,areRequiredToSupport,SeamlessHandover,
Dynamic resource allocation among slices supports flexible QoS,<object> Dynamic resource allocation among slices <relationship> supports <object> flexible QoS fulfillment.,DynamicResourceAllocationAmongSlices,supports,FlexibleQoSFulfillment,
"Network slicing introduces challenges (orchestration, mobility, SDN/NFV, reconfiguration)","<object> Network slicing <relationship> introduces <object> challenges in orchestration, mobility coordination, SDN/NFV integration, and infrastructure reconfiguration.",NetworkSlicing,introduces,ChallengesInOrchestrationMobilityCoordinationSDNNFVIntegrationAndInfrastructureReconfiguration,
5G target is ≤ 1 ms end-to-end latency,<object> 5G target <relationship> is <object> ≤ 1 ms end-to-end latency.,5GTarget,is,≤1MsEndToEndLatency,
RAN delays comprise tmpt,<object> RAN delays <relationship> comprise <object> tmpt.,RANDelays,comprise,Tmpt,
RAN delays comprise tbsp,<object> RAN delays <relationship> comprise <object> tbsp.,RANDelays,comprise,Tbsp,
LTE’s 1 ms TTI must be reduced to ≤ 0.25 ms,<object> LTE 1 ms TTI <relationship> must be reduced to <object> ≤ 0.25 ms.,LTE1MsTTI,mustBeReducedTo,≤0.25Ms,
Sub-ms TTI (0.25 ms) lowers latency,<object> Sub-ms TTI (0.25 ms) <relationship> lowers <object> latency.,SubMsTTI0.25Ms,lowers,Latency,
Sub-ms TTI (0.25 ms) increases control overhead,<object> Sub-ms TTI (0.25 ms) <relationship> increases <object> control overhead.,SubMsTTI0.25Ms,increases,ControlOverhead,
SDN/NFV is part of core/backhaul,<object> SDN/NFV <relationship> is <object> part of core/backhaul.,SDNNFV,is,PartOfCoreBackhaul,
Edge caching of popular content shortens backhaul dependencies,<object> Edge caching of popular content <relationship> shortens <object> backhaul dependencies.,EdgeCachingOfPopularContent,shortens,BackhaulDependencies,
Edge caching of popular content shortens content retrieval latency,<object> Edge caching of popular content <relationship> shortens <object> content retrieval latency.,EdgeCachingOfPopularContent,shortens,ContentRetrievalLatency,
NF low-latency requirements include fast CPU,<object> NF low-latency requirements <relationship> include <object> fast CPU.,NFLowLatencyRequirements,include,FastCPU,
NF low-latency requirements include low-latency I/O,<object> NF low-latency requirements <relationship> include <object> low-latency I/O.,NFLowLatencyRequirements,include,LowLatencyIO,
NF low-latency requirements include real-time orchestration responsiveness,<object> NF low-latency requirements <relationship> include <object> real-time orchestration responsiveness.,NFLowLatencyRequirements,include,RealTimeOrchestrationResponsiveness,
RAN + transport + caching enable sub-ms latency,<object> RAN optimization combined with transport and caching <relationship> enables <object> sub-ms latency.,RANOptimizationCombinedWithTransportAndCaching,enables,SubMsLatency,
Reliable ultra-low latency requires core co-design,<object> Reliable ultra-low latency <relationship> requires <object> core co-design.,ReliableUltraLowLatency,requires,CoreCoDesign,
Reliable ultra-low latency requires transport co-design,<object> Reliable ultra-low latency <relationship> requires <object> transport co-design.,ReliableUltraLowLatency,requires,TransportCoDesign,
Intent ‘7 Mbps uplink / ≤ 50 ms latency’ specifies AR/VR requirements,<object> Intent ‘7 Mbps uplink / ≤ 50 ms latency’ <relationship> specifies <object> AR/VR service requirements.,Intent7MbpsUplink≤50MsLatency,specifies,ARVRServiceRequirements,
Intent specification does not detail implementation specifics,<object> Intent specification <relationship> does not detail <object> implementation specifics.,IntentSpecification,doesNotDetail,ImplementationSpecifics,
Impacted layers parse intents using RAN identifiers,<object> Impacted layers <relationship> parse intents using <object> RAN identifiers.,ImpactedLayers,parseIntentsUsing,RANIdentifiers,
RAN identifiers include 5QI and S-NSSAI,<object> RAN identifiers <relationship> include <object> 5QI and S-NSSAI.,RANIdentifiers,include,5QIAndSNSSAI,
5QI and S-NSSAI are used to scope service intents,<object> 5QI and S-NSSAI <relationship> are used to scope <object> service intents.,5QIAndSNSSAI,areUsedToScope,ServiceIntents,
